model_type,clf,parameters,train_time,predict_time,threshold,auc-roc,p_at_1,p_at_20,p_at_50,p_at_100,p_at_150,p_at_200,p_at_500,p_at_1000,p_at_2000,p_at_5000,p_at_All,rec_at_1,rec_at_20,rec_at_50,rec_at_100,rec_at_150,rec_at_200,rec_at_500,rec_at_1000,rec_at_2000,rec_at_5000,rec_at_All
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.1,0.8545237855405399,1.0,0.6,0.6,0.63,0.66,0.65,0.558,0.516,0.418,0.3064016520392359,0.3064016520392359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8958490566037736,0.5991923271075215
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.15000000000000002,0.8545237855405399,1.0,0.6,0.6,0.63,0.66,0.65,0.558,0.516,0.418,0.38881883144178225,0.38881883144178225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6981132075471698,0.4669358909641595
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.20000000000000004,0.8545237855405399,1.0,0.6,0.6,0.63,0.66,0.65,0.558,0.516,0.418,0.4111111111111111,0.4111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6422641509433962,0.4295810196870268
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.25000000000000006,0.8545237855405399,1.0,0.6,0.6,0.63,0.66,0.65,0.558,0.516,0.4402942840973401,0.4402942840973401,0.4402942840973401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.930622009569378,0.5871698113207547,0.3927309439676931
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.30000000000000004,0.8545237855405399,1.0,0.6,0.6,0.63,0.66,0.65,0.558,0.516,0.47772657450076805,0.47772657450076805,0.47772657450076805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7440191387559809,0.46943396226415096,0.31398283695103485
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.3500000000000001,0.8545237855405399,1.0,0.6,0.6,0.63,0.66,0.65,0.558,0.5276273022751896,0.5276273022751896,0.5276273022751896,0.5276273022751896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9437984496124031,0.5825358851674641,0.36754716981132074,0.2458354366481575
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.40000000000000013,0.8545237855405399,1.0,0.6,0.6,0.63,0.66,0.65,0.558,0.5572649572649573,0.5572649572649573,0.5572649572649573,0.5572649572649573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6317829457364341,0.38995215311004783,0.2460377358490566,0.16456335184250379
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.45000000000000007,0.8545237855405399,1.0,0.6,0.6,0.63,0.66,0.65,0.6118980169971672,0.6118980169971672,0.6118980169971672,0.6118980169971672,0.6118980169971672,1.0,1.0,1.0,1.0,1.0,1.0,0.7741935483870968,0.4186046511627907,0.2583732057416268,0.1630188679245283,0.10903584048460374
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.5000000000000001,0.8545237855405399,1.0,0.6,0.6,0.63,0.66,0.6706586826347305,0.6706586826347305,0.6706586826347305,0.6706586826347305,0.6706586826347305,0.6706586826347305,1.0,1.0,1.0,1.0,1.0,0.8615384615384616,0.4014336917562724,0.21705426356589147,0.1339712918660287,0.08452830188679246,0.05653710247349823
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.5500000000000002,0.8545237855405399,1.0,0.6,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,1.0,1.0,0.8,0.38095238095238093,0.24242424242424243,0.18461538461538463,0.08602150537634409,0.046511627906976744,0.028708133971291867,0.018113207547169812,0.012115093387178193
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.6000000000000002,0.8545237855405399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1,0.047619047619047616,0.030303030303030304,0.023076923076923078,0.010752688172043012,0.005813953488372093,0.0035885167464114833,0.0022641509433962265,0.001514386673397274
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.6500000000000001,0.8545237855405399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5}",0.25166797637939453,0.11888813972473145,0.7000000000000002,0.8545237855405399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
