model_type,clf,parameters,train_time,predict_time,threshold,auc-roc,p_at_1,p_at_20,p_at_50,p_at_100,p_at_150,p_at_200,p_at_500,p_at_1000,p_at_2000,p_at_5000,p_at_All,rec_at_1,rec_at_20,rec_at_50,rec_at_100,rec_at_150,rec_at_200,rec_at_500,rec_at_1000,rec_at_2000,rec_at_5000,rec_at_All
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.1,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.253,0.06570480928689884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.15000000000000002,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.253,0.06585771276595745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.20000000000000004,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.253,0.07319714680509393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9893992932862191
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.25000000000000006,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.253,0.09054745216897139,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9651691065118627
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.30000000000000004,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.253,0.1281906243371279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9151943462897526
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.3500000000000001,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.253,0.14815756035578145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8828874305906108
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.40000000000000013,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.253,0.15799204955163168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8626956082786471
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.45000000000000007,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.253,0.16828478964401294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.839979808177688
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.5000000000000001,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.253,0.18464778843903581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7965673902069662
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.5500000000000002,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.253,0.232018156424581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6708732963149924
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.6000000000000002,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.2927435387673956,0.2927435387673956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9312252964426877,0.5946491670873296
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.6500000000000001,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.339343206696716,0.339343206696716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.833201581027668,0.5320545179202423
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.7000000000000002,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.416,0.4117926771279125,0.4117926771279125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6845849802371542,0.43715295305401314
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.7500000000000002,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.4521857923497268,0.4521857923497268,0.4521857923497268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7956730769230769,0.5233201581027668,0.3341746592629985
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.8000000000000002,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.485,0.48095238095238096,0.48095238095238096,0.48095238095238096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6069711538461539,0.39920948616600793,0.25492175668854117
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.8500000000000002,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.536,0.5308880308880309,0.5308880308880309,0.5308880308880309,0.5308880308880309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5670103092783505,0.33052884615384615,0.21739130434782608,0.13881877839475013
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.6536719799041748,0.11642098426818848,0.9000000000000002,0.85263590499034,1.0,0.55,0.66,0.6,0.6,0.615,0.5890804597701149,0.5890804597701149,0.5890804597701149,0.5890804597701149,0.5890804597701149,1.0,1.0,1.0,1.0,1.0,1.0,0.7649253731343284,0.422680412371134,0.24639423076923078,0.16205533596837945,0.10348308934881373
