model_type,clf,parameters,train_time,predict_time,threshold,auc-roc,p_at_1,p_at_20,p_at_50,p_at_100,p_at_150,p_at_200,p_at_500,p_at_1000,p_at_2000,p_at_5000,p_at_All,rec_at_1,rec_at_20,rec_at_50,rec_at_100,rec_at_150,rec_at_200,rec_at_500,rec_at_1000,rec_at_2000,rec_at_5000,rec_at_All
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.11518502235412598,0.12457394599914551,0.1,0.8506389707510855,1.0,0.75,0.62,0.59,0.58,0.585,0.56,0.5,0.4095,0.259,0.06570698862317158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.11518502235412598,0.12457394599914551,0.15000000000000002,0.8506389707510855,1.0,0.75,0.62,0.59,0.58,0.585,0.56,0.5,0.4095,0.259,0.06694645637311311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984856133266027
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.11518502235412598,0.12457394599914551,0.20000000000000004,0.8506389707510855,1.0,0.75,0.62,0.59,0.58,0.585,0.56,0.5,0.4095,0.259,0.07112216574744962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9959616355376073
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.11518502235412598,0.12457394599914551,0.25000000000000006,0.8506389707510855,1.0,0.75,0.62,0.59,0.58,0.585,0.56,0.5,0.4095,0.259,0.07868654311039484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9858657243816255
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.11518502235412598,0.12457394599914551,0.30000000000000004,0.8506389707510855,1.0,0.75,0.62,0.59,0.58,0.585,0.56,0.5,0.4095,0.259,0.09624496866561369,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9535588086824835
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.11518502235412598,0.12457394599914551,0.3500000000000001,0.8506389707510855,1.0,0.75,0.62,0.59,0.58,0.585,0.56,0.5,0.4095,0.259,0.14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8798586572438163
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.11518502235412598,0.12457394599914551,0.40000000000000013,0.8506389707510855,1.0,0.75,0.62,0.59,0.58,0.585,0.56,0.5,0.4095,0.259,0.1696575907590759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8303886925795053
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.11518502235412598,0.12457394599914551,0.45000000000000007,0.8506389707510855,1.0,0.75,0.62,0.59,0.58,0.585,0.56,0.5,0.4095,0.259,0.19664174209628754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.756688541140838
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.11518502235412598,0.12457394599914551,0.5000000000000001,0.8506389707510855,1.0,0.75,0.62,0.59,0.58,0.585,0.56,0.5,0.4095,0.259,0.2327011788826243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875315497223624
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.11518502235412598,0.12457394599914551,0.5500000000000002,0.8506389707510855,1.0,0.75,0.62,0.59,0.58,0.585,0.56,0.5,0.4095,0.27256906678268433,0.27256906678268433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9675675675675676,0.6325088339222615
